        cher_lg_Tank  |                root  |                          tank  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | FF9900   |            Polycone  |0*deg 360*deg 4 65*cm 67*cm 67*cm 85*cm 144*cm 155*cm 265*cm 265*cm 194*cm 209.01*cm 209.01*cm 301*cm  |    SL_LGCCgas_SIDIS  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
 cher_lg_PMT_30_1_32  |        cher_lg_Tank  |          PMT number 1 0 0 3 7  |                   61.322*cm 230.874*cm 237.321*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 32 
 cher_lg_PMT_30_1_33  |        cher_lg_Tank  |          PMT number 1 0 0 4 0  |                   61.369*cm 228.709*cm 233.267*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 33 
 cher_lg_PMT_30_1_34  |        cher_lg_Tank  |          PMT number 1 0 0 4 1  |                   61.452*cm 228.992*cm 233.846*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 34 
 cher_lg_PMT_30_1_35  |        cher_lg_Tank  |          PMT number 1 0 0 4 2  |                   61.534*cm 229.275*cm 234.425*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 35 
 cher_lg_PMT_30_1_36  |        cher_lg_Tank  |          PMT number 1 0 0 4 3  |                   61.616*cm 229.559*cm 235.005*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 36 
 cher_lg_PMT_30_1_37  |        cher_lg_Tank  |          PMT number 1 0 0 4 4  |                   61.699*cm 229.842*cm 235.584*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 37 
 cher_lg_PMT_30_1_38  |        cher_lg_Tank  |          PMT number 1 0 0 4 5  |                   61.781*cm 230.126*cm 236.163*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 38 
 cher_lg_PMT_30_1_39  |        cher_lg_Tank  |          PMT number 1 0 0 4 6  |                   61.863*cm 230.409*cm 236.742*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 39 
 cher_lg_PMT_30_1_40  |        cher_lg_Tank  |          PMT number 1 0 0 4 7  |                   61.946*cm 230.692*cm 237.321*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 40 
 cher_lg_PMT_30_1_41  |        cher_lg_Tank  |          PMT number 1 0 0 5 0  |                   61.994*cm 228.527*cm 233.267*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 41 
 cher_lg_PMT_30_1_42  |        cher_lg_Tank  |          PMT number 1 0 0 5 1  |                   62.076*cm 228.811*cm 233.846*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 42 
 cher_lg_PMT_30_1_43  |        cher_lg_Tank  |          PMT number 1 0 0 5 2  |                   62.158*cm 229.094*cm 234.425*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 43 
 cher_lg_PMT_30_1_44  |        cher_lg_Tank  |          PMT number 1 0 0 5 3  |                   62.241*cm 229.377*cm 235.005*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 44 
 cher_lg_PMT_30_1_45  |        cher_lg_Tank  |          PMT number 1 0 0 5 4  |                   62.323*cm 229.661*cm 235.584*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 45 
 cher_lg_PMT_30_1_46  |        cher_lg_Tank  |          PMT number 1 0 0 5 5  |                   62.405*cm 229.944*cm 236.163*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 46 
 cher_lg_PMT_30_1_47  |        cher_lg_Tank  |          PMT number 1 0 0 5 6  |                   62.488*cm 230.228*cm 236.742*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 47 
 cher_lg_PMT_30_1_48  |        cher_lg_Tank  |          PMT number 1 0 0 5 7  |                   62.570*cm 230.511*cm 237.321*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 48 
 cher_lg_PMT_30_1_49  |        cher_lg_Tank  |          PMT number 1 0 0 6 0  |                   62.618*cm 228.346*cm 233.267*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 49 
 cher_lg_PMT_30_1_50  |        cher_lg_Tank  |          PMT number 1 0 0 6 1  |                   62.700*cm 228.629*cm 233.846*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 50 
 cher_lg_PMT_30_1_51  |        cher_lg_Tank  |          PMT number 1 0 0 6 2  |                   62.782*cm 228.913*cm 234.425*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 51 
 cher_lg_PMT_30_1_52  |        cher_lg_Tank  |          PMT number 1 0 0 6 3  |                   62.865*cm 229.196*cm 235.005*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 52 
 cher_lg_PMT_30_1_53  |        cher_lg_Tank  |          PMT number 1 0 0 6 4  |                   62.947*cm 229.479*cm 235.584*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 00cc00   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 53 
 cher_lg_PMT_30_1_54  |        cher_lg_Tank  |          PMT number 1 0 0 6 5  |                   63.029*cm 229.763*cm 236.163*cm  |    ordered: zxy 16.2*deg -63*deg -0*deg  | 99ff99   |                 Box  |                               0.3249*cm 0.3249*cm 0.0001*mm  |           SL_H12700  |                  no  |     1   |     1   |     1   |   0   |   1   |           solid_lgc  |           solid_lgc  |sector manual 30 pmt manual 1 pixel manual 54 
