<mfield>
       <description name="solenoid_ptarget" factory="ASCII" comment="solenoid_ptarget"/>
       <symmetry type="cylindrical-x" format="map" integration="RungeKutta" minStep="1*mm"/>
       <map>
               <coordinate>
                       <first  name="transverse" npoints="200"   min="0"  max="199"  units="cm"/>
                       <second name="longitudinal"   npoints="401"  min="-200" max="200"  units="cm"/>
               </coordinate>
               <field unit="gauss"/>
               <interpolation type="none"/>
               <shift z="-350" units="cm"/>
       </map>
</mfield>
0.000 114.000 -0.1 133.2
0.000 115.000 -0.1 129.8
0.000 116.000 -0.1 126.5
0.000 117.000 -0.1 123.3
0.000 118.000 -0.1 120.2
0.000 119.000 -0.1 117.2
0.000 120.000 -0.1 114.3
0.000 121.000 -0.1 111.5
0.000 122.000 -0.1 108.7
0.000 123.000 -0.1 106.1
0.000 124.000 -0.1 103.6
0.000 125.000 -0.1 101.1
0.000 126.000 -0.1 98.7
0.000 127.000 0 96.4
0.000 128.000 0 94.2
0.000 129.000 0 92
0.000 130.000 0 89.9
0.000 131.000 0 87.9
0.000 132.000 0 85.9
0.000 133.000 0 84
0.000 134.000 0 82.1
0.000 135.000 0 80.3
0.000 136.000 0 78.5
0.000 137.000 0 76.8
0.000 138.000 0 75.2
0.000 139.000 0 73.6
0.000 140.000 0 72
0.000 141.000 0 70.5
0.000 142.000 0 69
0.000 143.000 0 67.6
0.000 144.000 0 66.2
0.000 145.000 0 64.8
0.000 146.000 0 63.5
0.000 147.000 0 62.2
0.000 148.000 0 61
0.000 149.000 0 59.7
0.000 150.000 0 58.6
0.000 151.000 0 57.4
0.000 152.000 0 56.3
0.000 153.000 0 55.2
0.000 154.000 0 54.1
0.000 155.000 0 53.1
0.000 156.000 0 52.1
0.000 157.000 0 51.1
0.000 158.000 0 50.1
0.000 159.000 0 49.2
0.000 160.000 0 48.3
0.000 161.000 0 47.4
0.000 162.000 0 46.5
0.000 163.000 0 45.6
0.000 164.000 0 44.8
0.000 165.000 0 44
0.000 166.000 0 43.2
0.000 167.000 0 42.4
0.000 168.000 0 41.7
0.000 169.000 0 41
0.000 170.000 0 40.2
0.000 171.000 0 39.5
0.000 172.000 0 38.8
0.000 173.000 0 38.2
0.000 174.000 0 37.5
0.000 175.000 0 36.9
0.000 176.000 0 36.3
0.000 177.000 0 35.7
0.000 178.000 0 35.1
0.000 179.000 0 34.5
0.000 180.000 0 33.9
0.000 181.000 0 33.3
0.000 182.000 0 32.8
0.000 183.000 0 32.3
0.000 184.000 0 31.7
0.000 185.000 0 31.2
0.000 186.000 0 30.7
0.000 187.000 0 30.2
0.000 188.000 0 29.8
0.000 189.000 0 29.3
0.000 190.000 0 28.8
0.000 191.000 0 28.4
0.000 192.000 0 27.9
0.000 193.000 0 27.5
0.000 194.000 0 27.1
0.000 195.000 0 26.7
0.000 196.000 0 26.3
0.000 197.000 0 25.9
0.000 198.000 0 25.5
0.000 199.000 0 25.1
0.000 200.000 0 24.7
1.000 -200.000 -0.4 24.7
1.000 -199.000 -0.4 25.1
1.000 -198.000 -0.4 25.5
1.000 -197.000 -0.4 25.9
1.000 -196.000 -0.4 26.3
1.000 -195.000 -0.4 26.7
