
      Q2           X            U            D          UBAR         DBAR          S
  3.1620E+01   1.7800E-01   1.6966E+00  -5.8298E-01  -2.4205E-02  -7.2611E-02   4.2244E-02
  3.1620E+01   2.3700E-01   1.3188E+00  -3.9910E-01  -1.4973E-02  -2.9422E-02   2.0030E-02
  3.1620E+01   3.1600E-01   9.0326E-01  -2.3348E-01  -6.0915E-03  -8.3850E-03   6.2793E-03
  3.1620E+01   4.2200E-01   4.9715E-01  -1.0394E-01  -1.3109E-03  -1.3368E-03   9.8257E-04
  3.1620E+01   5.6200E-01   1.8102E-01  -2.8153E-02  -8.9397E-05  -7.3569E-05   4.2334E-05
  3.1620E+01   7.5000E-01   2.2118E-02  -2.1491E-03  -3.5059E-07  -4.2631E-07  -1.2372E-07
  3.1620E+01   1.0000E+00   6.1215E-06   3.3476E-07   3.7128E-10   3.6353E-10  -9.1771E-10
  1.0000E+02   1.0000E-05   6.8066E+01  -9.4078E+01   4.7107E+01  -1.9568E+02  -4.1683E+02
  1.0000E+02   1.3300E-05   5.8505E+01  -8.0807E+01   3.9262E+01  -1.5606E+02  -3.2875E+02
  1.0000E+02   1.7800E-05   5.0453E+01  -6.9348E+01   3.2789E+01  -1.2397E+02  -2.5785E+02
  1.0000E+02   2.3700E-05   4.3883E+01  -5.9811E+01   2.7630E+01  -9.8981E+01  -2.0303E+02
  1.0000E+02   3.1600E-05   3.8348E+01  -5.1656E+01   2.3392E+01  -7.9034E+01  -1.5960E+02
  1.0000E+02   4.2200E-05   3.3648E+01  -4.4667E+01   1.9888E+01  -6.3111E+01  -1.2522E+02
  1.0000E+02   5.6200E-05   2.9688E+01  -3.8747E+01   1.7014E+01  -5.0575E+01  -9.8402E+01
  1.0000E+02   7.5000E-05   2.6269E+01  -3.3634E+01   1.4599E+01  -4.0530E+01  -7.7120E+01
  1.0000E+02   1.0000E-04   2.3328E+01  -2.9255E+01   1.2577E+01  -3.2560E+01  -6.0418E+01
  1.0000E+02   1.3300E-04   2.0796E+01  -2.5513E+01   1.0880E+01  -2.6259E+01  -4.7369E+01
  1.0000E+02   1.7800E-04   1.8538E+01  -2.2212E+01   9.4030E+00  -2.1126E+01  -3.6878E+01
  1.0000E+02   2.3700E-04   1.6593E+01  -1.9409E+01   8.1596E+00  -1.7106E+01  -2.8779E+01
  1.0000E+02   3.1600E-04   1.4870E+01  -1.6966E+01   7.0812E+00  -1.3876E+01  -2.2376E+01
  1.0000E+02   4.2200E-04   1.3338E+01  -1.4834E+01   6.1405E+00  -1.1279E+01  -1.7319E+01
  1.0000E+02   5.6200E-04   1.1994E+01  -1.2997E+01   5.3281E+00  -9.2196E+00  -1.3388E+01
  1.0000E+02   7.5000E-04   1.0790E+01  -1.1385E+01   4.6110E+00  -7.5552E+00  -1.0282E+01
  1.0000E+02   1.0000E-03   9.7217E+00  -9.9817E+00   3.9822E+00  -6.2222E+00  -7.8575E+00
  1.0000E+02   1.3300E-03   8.7783E+00  -8.7654E+00   3.4317E+00  -5.1569E+00  -5.9761E+00
  1.0000E+02   1.7800E-03   7.9198E+00  -7.6775E+00   2.9336E+00  -4.2781E+00  -4.4764E+00
  1.0000E+02   2.3700E-03   7.1694E+00  -6.7412E+00   2.4996E+00  -3.5792E+00  -3.3312E+00
  1.0000E+02   3.1600E-03   6.4988E+00  -5.9150E+00   2.1116E+00  -3.0073E+00  -2.4384E+00
  1.0000E+02   4.2200E-03   5.9008E+00  -5.1848E+00   1.7642E+00  -2.5368E+00  -1.7460E+00
  1.0000E+02   5.6200E-03   5.3769E+00  -4.5482E+00   1.4578E+00  -2.1524E+00  -1.2203E+00
  1.0000E+02   7.5000E-03   4.9114E+00  -3.9825E+00   1.1831E+00  -1.8296E+00  -8.1770E-01
  1.0000E+02   1.0000E-02   4.5035E+00  -3.4841E+00   9.4015E-01  -1.5578E+00  -5.1641E-01
  1.0000E+02   1.3300E-02   4.1486E+00  -3.0459E+00   7.2774E-01  -1.3261E+00  -2.9561E-01
  1.0000E+02   1.7800E-02   3.8304E+00  -2.6477E+00   5.3856E-01  -1.1184E+00  -1.3319E-01
  1.0000E+02   2.3700E-02   3.5544E+00  -2.2981E+00   3.7965E-01  -9.3547E-01  -2.2830E-02
  1.0000E+02   3.1600E-02   3.3046E+00  -1.9820E+00   2.4689E-01  -7.6709E-01   4.9274E-02
  1.0000E+02   4.2200E-02   3.0704E+00  -1.6939E+00   1.4094E-01  -6.1005E-01   9.0732E-02
  1.0000E+02   5.6200E-02   2.8417E+00  -1.4330E+00   6.3283E-02  -4.6581E-01   1.0755E-01
  1.0000E+02   7.5000E-02   2.5989E+00  -1.1901E+00   1.1564E-02  -3.3377E-01   1.0551E-01
  1.0000E+02   1.0000E-01   2.3280E+00  -9.6429E-01  -1.6169E-02  -2.1965E-01   8.9604E-02
  1.0000E+02   1.3300E-01   2.0173E+00  -7.5366E-01  -2.4889E-02  -1.2893E-01   6.5640E-02
  1.0000E+02   1.7800E-01   1.6499E+00  -5.5116E-01  -2.1251E-02  -6.3147E-02   3.9298E-02
  1.0000E+02   2.3700E-01   1.2472E+00  -3.6785E-01  -1.2633E-02  -2.4722E-02   1.8097E-02
  1.0000E+02   3.1600E-01   8.2692E-01  -2.0879E-01  -4.9502E-03  -6.7765E-03   5.4920E-03
  1.0000E+02   4.2200E-01   4.3739E-01  -8.9535E-02  -1.0184E-03  -1.0294E-03   8.3183E-04
  1.0000E+02   5.6200E-01   1.5117E-01  -2.3082E-02  -6.4517E-05  -5.2392E-05   3.5749E-05
  1.0000E+02   7.5000E-01   1.6992E-02  -1.6259E-03  -1.8770E-07  -2.6734E-07  -5.4374E-08
  1.0000E+02   1.0000E+00   2.6099E-06   2.9292E-07   4.3679E-10   3.8244E-10  -6.9053E-10
  3.1620E+02   1.0000E-05   7.4916E+01  -1.0310E+02   4.9535E+01  -2.0196E+02  -4.2508E+02
  3.1620E+02   1.3300E-05   6.4434E+01  -8.8932E+01   4.1130E+01  -1.6150E+02  -3.3544E+02
  3.1620E+02   1.7800E-05   5.5620E+01  -7.6590E+01   3.4238E+01  -1.2864E+02  -2.6322E+02
  3.1620E+02   2.3700E-05   4.8437E+01  -6.6237E+01   2.8776E+01  -1.0299E+02  -2.0735E+02
  3.1620E+02   3.1600E-05   4.2388E+01  -5.7326E+01   2.4311E+01  -8.2454E+01  -1.6305E+02
