solid_PVDIS_ec_forwardangle_real_layer_45  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_45  |                               0*cm 0*cm -11.76*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_46  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_46  |                              0*cm 0*cm -11.536*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_47  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_47  |                              0*cm 0*cm -11.312*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_48  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_48  |                              0*cm 0*cm -11.088*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_49  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_49  |                              0*cm 0*cm -10.864*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_50  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_50  |                               0*cm 0*cm -10.64*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_51  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_51  |                              0*cm 0*cm -10.416*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_52  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_52  |                              0*cm 0*cm -10.192*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_53  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_53  |                               0*cm 0*cm -9.968*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_54  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_54  |                               0*cm 0*cm -9.744*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_55  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_55  |                                0*cm 0*cm -9.52*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_56  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_56  |                               0*cm 0*cm -9.296*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_57  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_57  |                               0*cm 0*cm -9.072*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_real_layer_58  |solid_PVDIS_ec_forwardangle_real_shower  |solid_PVDIS_ec_forwardangle_real_layer_58  |                               0*cm 0*cm -8.848*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                        110*cm 265*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
