solid_PVDIS_baffle_babarbafflemore1_kill_plate3  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate3  |                                   0*cm 0*cm 68*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                        15.3*cm 54.3*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate4  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate4  |                                   0*cm 0*cm 82*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                      20.92*cm 64.01*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate5  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate5  |                                   0*cm 0*cm 96*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                        26.6*cm 73.8*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate6  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate6  |                                  0*cm 0*cm 110*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                      32.22*cm 83.48*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate7  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate7  |                                  0*cm 0*cm 124*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                        37.9*cm 93.3*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate8  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate8  |                                  0*cm 0*cm 138*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                     43.52*cm 102.95*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate9  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate9  |                                  0*cm 0*cm 152*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                       49.2*cm 112.8*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate10  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate10  |                                  0*cm 0*cm 166*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                     54.82*cm 122.43*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate11  |                root  |solid_PVDIS_baffle_babarbafflemore1_kill_plate11  |                                  0*cm 0*cm 180*cm  |                       0*deg 0*deg 0*deg  | 000000   |                Tube  |                         60.4*cm 132*cm 4.5*cm 0*deg 360*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1  |solid_PVDIS_baffle_babarbafflemore1_kill_plate1.slit01  |                                    0*cm 0*cm 0*cm  |                     0*deg 0*deg 5.6*deg  | 000000   |                Tube  |                     3.9*cm 34.7*cm 4.5*cm 176.26*deg 12*deg  |           SL_Vacuum  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
