   solid_SIDIS_gem_1  |                root  |             solid_SIDIS_gem_1  |                                 0*cm 0*cm -175*cm  |                       0*deg 0*deg 0*deg  | 111111   |                Tube  |                         36*cm 87*cm 4.8905*mm 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                       id manual 1100000 
solid_SIDIS_gem_1_2_13  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_13  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -158*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1402 
solid_SIDIS_gem_1_2_14  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_14  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -170*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1502 
solid_SIDIS_gem_1_2_15  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_15  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -182*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1602 
solid_SIDIS_gem_1_2_16  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_16  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -194*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1702 
solid_SIDIS_gem_1_2_17  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_17  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -206*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1802 
solid_SIDIS_gem_1_2_18  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_18  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -218*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 1902 
solid_SIDIS_gem_1_2_19  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_19  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -230*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2002 
solid_SIDIS_gem_1_2_20  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_20  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -242*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2102 
solid_SIDIS_gem_1_2_21  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_21  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -254*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2202 
solid_SIDIS_gem_1_2_22  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_22  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -266*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2302 
solid_SIDIS_gem_1_2_23  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_23  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -278*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2402 
solid_SIDIS_gem_1_2_24  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_24  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -290*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2502 
solid_SIDIS_gem_1_2_25  |   solid_SIDIS_gem_1  |        solid_SIDIS_gem_1_2_25  |                               0*cm 0*cm -4.769*mm  |                    0*deg 0*deg -302*deg  | ffse14   |                Tube  |                         36*cm 87*cm 0.0015*mm -5*deg 10*deg  |        SL_gem_NOMEX  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                          id manual 2602 
